id,created_at,text
966125445216313345,2018-02-21 01:40:30,"b'No solo buscamos el bienestar material, sino tambi\xc3\xa9n el bienestar del alma. Les comparto el discurso sobre esta pro\xe2\x80\xa6 https://t.co/5Ta94JYB1F'"
965677394588729344,2018-02-19 20:00:06,b'Siempre he estado en contra de represalias tomadas desde el poder. \nNapole\xc3\xb3n G. Urrutia ha sido perseguido y estigm\xe2\x80\xa6 https://t.co/SbH9J16D5B'
965385623237427202,2018-02-19 00:40:43,b'Por unanimidad se aprob\xc3\xb3 en el Consejo Nacional de MORENA la lista de senadores y diputados plurinominales. \n\nLa f\xc3\xb3\xe2\x80\xa6 https://t.co/VVKWWBcvso'
964925816059650048,2018-02-17 18:13:36,"b'Miren la encuesta (tracking) de Consultora SABA del 12 de febrero: https://t.co/ZafJLfcbdw \n\nHasta parece ""cucharea\xe2\x80\xa6 https://t.co/y0GpkXHU0H'"
964616474877816833,2018-02-16 21:44:23,"b'Amor y paz. No voy a caer en provocaciones. Vamos muy bien. Cabeza fr\xc3\xada, coraz\xc3\xb3n caliente. As\xc3\xad me lo aconseja la ge\xe2\x80\xa6 https://t.co/qF7CWOffh3'"
963992819105853440,2018-02-15 04:26:12,"b'Lamento el accidente que tuvo Mar\xc3\xada de Jes\xc3\xbas Patricio Mart\xc3\xadnez, Marichuy, y sus acompa\xc3\xb1antes. \n\nExpreso mi p\xc3\xa9same a\xe2\x80\xa6 https://t.co/4bdKyRz0RG'"
962869644771151873,2018-02-12 02:03:07,b'En Le\xc3\xb3n y en Guadalajara terminamos la precampa\xc3\xb1a. En todos lados nos fue muy bien.\nGracias de coraz\xc3\xb3n. https://t.co/WrPAg1Kv2g'
962442124439384064,2018-02-10 21:44:18,"b'Hoy, desde Zacatecas, convoqu\xc3\xa9 a los maestros a la construcci\xc3\xb3n de un acuerdo para mejorar la educaci\xc3\xb3n sin afectar\xe2\x80\xa6 https://t.co/x7P1tiZhDK'"
961993233990643712,2018-02-09 16:00:34,b'Les comparto la \xc3\xbaltima encuesta de SDP. Sigue la pelea por el segundo lugar entre los candidatos palomeados por la\xe2\x80\xa6 https://t.co/6h8bQgbvlQ'
961703480179093504,2018-02-08 20:49:11,"b'Miren cu\xc3\xa1nta gente en el acto de Durango a pesar de ser jueves a las 11 de la ma\xc3\xb1ana.\n\n\xc2\xa1De norte a sur, de este a o\xe2\x80\xa6 https://t.co/3Chv1ycz7T'"
961398487702151168,2018-02-08 00:37:16,b'Por desgracia Colima es la muestra del fracaso de la estrategia de seguridad aplicada por Calder\xc3\xb3n y Pe\xc3\xb1a.\n\nHoy me\xe2\x80\xa6 https://t.co/JLXTYWieIk'
961052498340532225,2018-02-07 01:42:25,"b'Moreno Valle abus\xc3\xb3 de la confianza de los poblanos y ahora, en el colmo del cinismo, quiere dejar a su esposa en la\xe2\x80\xa6 https://t.co/xLJQFQq6Ic'"
960674828557733889,2018-02-06 00:41:42,"b'Enrique Krauze: en buena lid y con todo respeto, t\xc3\xba tambi\xc3\xa9n eres de aquellos profundamente conservadores y que simu\xe2\x80\xa6 https://t.co/yy7Dsj1p02'"
960607411315838977,2018-02-05 20:13:48,"b'Hace tiempo que Jes\xc3\xbas Silva-Herzog M\xc3\xa1rquez me cuestiona con conjeturas de toda \xc3\xadndole. Hoy, en el peri\xc3\xb3dico Reforma\xe2\x80\xa6 https://t.co/IzQgZFAvU9'"
960262659361968129,2018-02-04 21:23:53,"b'Ni nepotismo, cacicazgos o revivir afanes mon\xc3\xa1rquicos. En Veracruz, en Puebla y en el pa\xc3\xads, lucharemos por ser una\xe2\x80\xa6 https://t.co/M5zzBMMUWH'"
959986654646763520,2018-02-04 03:07:08,"b'Claudio X. Gonz\xc3\xa1lez es perverso e influyente. Particip\xc3\xb3 en el fraude electoral del 2006 y, en diciembre del 2012, r\xe2\x80\xa6 https://t.co/ckFWV4CQPy'"
959607864212979721,2018-02-03 02:01:58,"b'Hoy nos dieron tamal por ser el D\xc3\xada de la Candelaria.\n\nEstuvimos en Pahuatl\xc3\xa1n, Xicotepec y Chignahuapan.\n\nEstaremos\xe2\x80\xa6 https://t.co/BWFo1Wgiyz'"
959222339769589760,2018-02-02 00:30:01,"b'Reforzamos el equipo de campa\xc3\xb1a\xc2\xa0 para organizar, casilla por casilla y evitar el fraude electoral.\n\nVan a actuar co\xe2\x80\xa6 https://t.co/iGZfCvx82k'"
958882240930467840,2018-02-01 01:58:36,b'Ma\xc3\xb1ana daremos a conocer el plan para fortalecer la organizaci\xc3\xb3n territorial de nuestro movimiento y evitar el frau\xe2\x80\xa6 https://t.co/xfVtcMcDvj'
958390002861379588,2018-01-30 17:22:37,b'Ayer se aplicaron a fondo con la guerra sucia en video y celulares. Est\xc3\xa1n muy nerviosos porque llevamos m\xc3\xa1s de 15 p\xe2\x80\xa6 https://t.co/dU8O5jZujX'
958169643104923648,2018-01-30 02:46:59,"b'No solo es el sureste. Miren el acto de hoy lunes en Tepic, Nayarit https://t.co/tk0XcOL6yc'"
957442964761931776,2018-01-28 02:39:25,"b'Antes de los actos en Chenalh\xc3\xb3 y San Juan Chamula, en la regi\xc3\xb3n de Los Altos de Chiapas, como es la tradici\xc3\xb3n, nos\xe2\x80\xa6 https://t.co/I9y521UCqc'"
957083913821806592,2018-01-27 02:52:41,"b'Antes en La Fraylesca se produc\xc3\xada mucho ma\xc3\xadz, pero desde los tiempos de Salinas, el gobierno acab\xc3\xb3 con el fomento a\xe2\x80\xa6 https://t.co/rcKr0ziRVL'"
956695847810498560,2018-01-26 01:10:39,"b'Les comparto im\xc3\xa1genes de los actos en Tuxtla Chico, Tuzant\xc3\xa1n y Pijijiapan, Chiapas.\n\nLa gente est\xc3\xa1 llena de emoci\xc3\xb3n\xe2\x80\xa6 https://t.co/hPWAJDC47k'"
956321329573085184,2018-01-25 00:22:27,"b'En Chiapas me entregaron esta encuesta domiciliaria del 16 al 18 de enero. Se las comparto, aunque podr\xc3\xada ser falsa\xe2\x80\xa6 https://t.co/LAtSeXlFmm'"
956017712370782208,2018-01-24 04:15:59,"b'Les comparto im\xc3\xa1genes de los actos de Salto de Agua, Yajal\xc3\xb3n y Bachaj\xc3\xb3n, en Chiapas. https://t.co/Z2FRTqQ4YJ'"
955851623531761664,2018-01-23 17:16:00,"b'Terminamos Veracruz, vamos a Chiapas, pero pasamos a comer un caldo de pavo criollo sancochado a San Juan El Alto,\xe2\x80\xa6 https://t.co/SN4nrZbmVW'"
955639404139343872,2018-01-23 03:12:43,b'En Moloac\xc3\xa1n terminamos gira de precampa\xc3\xb1a por 42 municipios de Veracruz. Ma\xc3\xb1ana iniciamos en Chiapas. https://t.co/2AhslazmJG'
955537423605395456,2018-01-22 20:27:29,"b'En Soteapan, Veracruz, en lunes a las 11 de la ma\xc3\xb1ana. \n\nClaro est\xc3\xa1, aqu\xc3\xad desde 1906, con el magonismo, se gest\xc3\xb3 la\xe2\x80\xa6 https://t.co/EaHLHpazbt'"
955183922786328577,2018-01-21 21:02:48,"b'Bienvenidos Cuauht\xc3\xa9moc Blanco y la senadora, Gabriela Cuevas. La patria es primero.\n\nJuntos haremos historia. https://t.co/wjvnxWtLdw'"
954796104897499136,2018-01-20 19:21:45,"b'Federico, para abreviar, solo puse una l\xc3\xa1mina de la encuesta de la empresa de Li\xc3\xa9bano.  Ojal\xc3\xa1 que con la serie comp\xe2\x80\xa6 https://t.co/hJZiHyY07J'"
954743873179275265,2018-01-20 15:54:12,b'\xc2\xbfQuieres saber por qu\xc3\xa9 lanzaron la campa\xc3\xb1a vincul\xc3\xa1ndonos con los rusos?\n\nMira est\xc3\xa1s dos encuestas telef\xc3\xb3nicas del 1\xe2\x80\xa6 https://t.co/VCYA2J6buV'
954541546161844224,2018-01-20 02:30:13,"b'As\xc3\xad como el de Tierra Blanca, estuvieron los actos de Playa Vicente y Tres Valles. La gente tiene la certeza de que\xe2\x80\xa6 https://t.co/uInXnyg3AF'"
954373784374571008,2018-01-19 15:23:36,"b'Desayunando negritas con Tatiana en La Merced del Puerto de Veracruz, antes de salir de gira por la Cuenca de Papal\xe2\x80\xa6 https://t.co/z2zlYeyOvl'"
954016032582258688,2018-01-18 15:42:01,"b'Ya no soy peje, ahora soy AndresManuelovich https://t.co/L1fzb5QGgX'"
953636206117576705,2018-01-17 14:32:43,"b'\xc2\xa1Ah, qu\xc3\xa9 buena medicina! https://t.co/cnbOcACc4b'"
953386789624074240,2018-01-16 22:01:38,"b'Un llamado a los panistas de buena voluntad a luchar juntos por la honestidad, la justicia y la democracia https://t.co/jq1Mc42a7s'"
953088378081198080,2018-01-16 02:15:51,b'En las encuestas estamos arriba en Chihuahua. Est\xc3\xa1 llegando a su fin el bipartidismo del PRIAN instaurado durante e\xe2\x80\xa6 https://t.co/8VhyFU6Z3k'
952695892544499712,2018-01-15 00:16:15,"b'En Monterrey, trabajadores y empresarios, expresaron su apoyo a la alianza ""Juntos haremos historia"". https://t.co/Ipq1Q4Y6hC'"
952307460265725952,2018-01-13 22:32:46,b'Mucho entusiasmo y participaci\xc3\xb3n en Tampico. https://t.co/pyp9vy45w7'
952239678010224640,2018-01-13 18:03:25,"b'Exijo transparencia en la contrataci\xc3\xb3n de J. J. Rend\xc3\xb3n, especialista en guerra sucia  \nhttps://t.co/rVtauOPFM2'"
951938218580107265,2018-01-12 22:05:32,"b'En Veracruz, d\xc3\xb3nde se padece de pobreza, nepotismo, corrupcion, violencia y otras calamidades, es realmente una esp\xe2\x80\xa6 https://t.co/N5hcobQl1z'"
951194203270234112,2018-01-10 20:49:05,b'Reflexi\xc3\xb3n sobre el tema de Venezuela https://t.co/uYZpTQEKGo'
